iter	Logloss
0	0.5507029616
1	0.4631165592
2	0.4121426982
3	0.3731109724
4	0.3466243194
5	0.3274705165
6	0.3147455701
7	0.3103645851
8	0.299816063
9	0.2946656787
10	0.292888297
11	0.2872198861
12	0.2845713746
13	0.2803769793
14	0.277633838
15	0.2775617701
16	0.2747789905
17	0.2730958774
18	0.2700825544
19	0.2700825539
20	0.2674131185
21	0.2641714601
22	0.2623961253
23	0.2611844779
24	0.2589154728
25	0.2587990769
26	0.257634472
27	0.2575463761
28	0.2575463521
29	0.2575463057
30	0.2539626937
31	0.2538906511
32	0.25111156
33	0.2492919101
34	0.2474359177
35	0.2453346776
36	0.2445583543
37	0.2445552702
38	0.2422366692
39	0.2395855163
40	0.2381753271
41	0.237365308
42	0.2373113378
43	0.2367092694
44	0.2358831597
45	0.2342061272
46	0.2326304247
47	0.2326299199
48	0.22924679
49	0.2268520506
50	0.2233118176
51	0.2205032291
52	0.2184839417
53	0.2165361001
54	0.2157439474
55	0.214285325
56	0.2127185389
57	0.2110563313
58	0.2096501772
59	0.2073730895
60	0.2056864319
61	0.2036622075
62	0.2031135266
63	0.2018940885
64	0.2010505939
65	0.200240448
66	0.1991941908
67	0.1989037995
68	0.1966691316
69	0.1940666111
70	0.1930617167
71	0.192384758
72	0.1913704303
73	0.1889594479
74	0.1873852794
75	0.1858673831
76	0.1841855374
